iter	Passed	Remaining
159	356	1873
160	358	1868
161	360	1862
162	361	1857
163	363	1855
164	365	1850
165	382	1920
166	384	1917
167	386	1913
168	387	1907
169	389	1901
170	391	1896
171	392	1890
172	394	1887
173	397	1885
174	399	1883
175	401	1878
176	402	1872
177	404	1866
178	405	1860
179	407	1854
180	408	1848
181	411	1848
182	413	1846
183	415	1842
184	417	1839
185	419	1835
186	421	1830
187	422	1825
188	424	1822
189	426	1819
190	428	1816
191	430	1813
192	432	1808
193	434	1803
194	435	1798
195	437	1793
196	439	1789
197	443	1795
198	459	1848
199	461	1845
200	462	1840
201	466	1841
202	467	1836
203	469	1832
204	472	1831
205	473	1826
206	475	1822
207	477	1817
208	479	1813
209	480	1807
210	481	1802
211	483	1797
212	485	1792
213	487	1790
214	489	1786
215	490	1781
216	492	1776
217	493	1771
218	495	1766
219	496	1761
220	498	1757
221	500	1752
222	502	1751
223	504	1747
224	506	1743
225	507	1738
226	509	1734
227	510	1729
228	512	1725
229	514	1720
230	515	1716
231	517	1712
232	519	1709
233	521	1705
234	522	1700
235	523	1696
236	525	1691
237	527	1687
238	528	1683
239	530	1678
240	531	1674
241	533	1671
242	535	1667
243	536	1663
244	538	1659
245	540	1656
246	541	1651
247	543	1647
248	544	1643
249	546	1639
250	548	1636
251	550	1633
252	551	1629
253	553	1625
254	554	1621
255	556	1616
256	557	1613
257	559	1608
258	560	1604
259	562	1600
260	564	1599
261	566	1595
262	568	1592
263	569	1588
264	571	1584
265	572	1580
266	574	1577
267	576	1573
268	577	1569
269	579	1567
270	581	1563
271	583	1561
272	586	1561
273	588	1559
274	590	1557
275	592	1555
276	595	1554
277	597	1550
278	598	1546
279	600	1543
280	602	1540
281	603	1537
282	605	1534
283	607	1530
284	609	1530
285	612	1528
286	614	1525
287	615	1522
288	617	1519
289	619	1516
290	620	1512
291	622	1509
292	637	1539
293	641	1540
294	644	1541
295	647	1540
296	651	1542
297	654	1540
298	657	1541
299	659	1539
300	661	1535
301	662	1532
302	664	1528
303	666	1524
304	667	1521
305	669	1517
306	671	1515
307	673	1512
308	674	1509
309	676	1505
310	677	1501
311	679	1498
312	680	1494
313	682	1490
314	683	1486
315	685	1483
316	687	1480
317	688	1477
318	690	1474
319	692	1470
320	693	1467
321	695	1463
322	696	1460
323	698	1457
324	699	1453
325	701	1451
326	703	1448
327	705	1445
328	706	1441
329	708	1438
330	710	1435
331	711	1432
332	713	1429
333	715	1426
334	717	1424
335	719	1421
336	720	1418
337	722	1414
338	723	1411
339	725	1408
340	727	1405
341	728	1401
342	730	1398
343	732	1396
344	734	1393
345	735	1390
346	737	1387
347	739	1384
348	740	1381
349	742	1378
350	744	1375
351	745	1373
352	748	1371
353	750	1368
354	752	1366
355	753	1363
356	755	1360
357	757	1357
358	758	1354
359	760	1351
360	761	1348
361	764	1346
362	766	1344
363	767	1341
364	769	1338
365	771	1336
366	773	1333
367	774	1330
368	776	1327
369	779	1326
370	780	1324
371	782	1321
372	784	1318
373	786	1315
374	787	1312
375	789	1310
376	791	1308
377	794	1306
378	796	1304
379	798	1302
380	799	1299
381	801	1296
382	803	1293
383	804	1291
384	806	1288
385	808	1286
386	810	1283
387	813	1282
388	815	1280
389	817	1278
390	818	1275
391	820	1272
392	822	1270
393	824	1268
394	826	1265
395	827	1262
396	829	1259
397	831	1257
398	833	1254
399	836	1255
400	844	1261
401	851	1266
402	854	1265
403	856	1263
404	860	1264
405	862	1262
406	864	1259
407	866	1257
408	867	1254
409	869	1251
410	871	1249
411	873	1246
412	874	1243
413	876	1240
414	877	1237
415	879	1234
416	881	1231
417	882	1229
418	884	1226
419	886	1223
420	888	1221
421	889	1218
422	891	1215
423	892	1212
424	894	1210
425	895	1207
426	897	1204
427	898	1201
428	901	1199
429	903	1197
430	904	1194
431	906	1191
432	908	1189
433	909	1186
434	911	1183
435	912	1180
436	914	1177
437	916	1175
438	918	1173
439	919	1170
440	921	1167
441	923	1165
442	924	1162
443	926	1159
444	927	1157
445	929	1154
446	931	1152
447	933	1150
448	935	1148
449	937	1145
450	938	1142
451	940	1140
452	942	1137
453	943	1135
454	945	1132
455	947	1130
456	949	1128
457	951	1125
458	952	1123
459	954	1120
460	956	1118
461	957	1115
462	959	1112
463	961	1110
464	963	1108
465	965	1105
466	966	1103
467	968	1100
468	970	1098
469	972	1096
470	973	1093
471	975	1090
472	977	1088
473	979	1086
474	980	1083
475	982	1081
476	984	1079
477	985	1076
478	987	1074
479	989	1071
480	992	1070
481	994	1068
482	995	1065
483	997	1063
484	999	1061
485	1001	1058
486	1002	1056
487	1004	1053
488	1006	1051
489	1007	1048
490	1026	1063
491	1029	1062
492	1032	1061
493	1033	1058
494	1037	1058
495	1040	1057
496	1042	1054
497	1044	1052
498	1045	1049
499	1047	1047
500	1048	1044
501	1050	1042
502	1051	1039
503	1054	1037
504	1057	1036
505	1059	1034
506	1061	1032
507	1064	1030
508	1066	1028
509	1069	1027
510	1071	1025
511	1072	1022
512	1074	1019
513	1075	1017
514	1077	1014
515	1078	1012
516	1080	1009
517	1082	1006
518	1084	1004
519	1085	1002
520	1087	999
521	1088	997
522	1090	994
523	1092	992
524	1093	989
525	1095	987
526	1097	984
527	1099	982
528	1100	980
529	1102	977
530	1103	974
531	1105	972
532	1106	969
533	1108	967
534	1109	964
535	1112	962
536	1114	960
537	1116	958
538	1118	956
539	1119	953
540	1121	951
541	1122	948
542	1124	946
543	1127	944
544	1134	946
545	1140	948
546	1143	947
547	1147	946
548	1151	945
549	1156	946
550	1159	944
551	1164	944
552	1167	943
553	1171	943
554	1174	941
555	1178	941
556	1181	939
557	1183	937
558	1185	935
559	1187	933
560	1189	930
561	1191	928
562	1193	926
563	1195	924
564	1197	921
565	1199	919
566	1201	917
567	1203	914
568	1208	915
569	1214	915
570	1220	917
571	1227	918
572	1231	917
573	1233	915
574	1236	914
575	1240	913
576	1242	910
577	1244	908
578	1246	906
579	1247	903
580	1249	901
581	1251	898
582	1253	896
583	1254	893
584	1256	891
585	1258	888
586	1259	886
587	1261	883
588	1262	881
589	1264	878
590	1266	876
591	1268	873
592	1269	871
593	1271	868
594	1273	866
595	1274	864
596	1276	861
597	1277	858
598	1279	856
599	1281	854
600	1282	851
601	1284	849
602	1285	846
603	1287	844
604	1288	841
605	1290	839
606	1292	836
607	1293	834
608	1296	832
609	1298	829
610	1300	827
611	1301	825
612	1303	822
613	1304	820
614	1306	817
615	1308	815
616	1309	812
617	1311	810
618	1313	808
619	1315	806
620	1316	803
621	1318	801
622	1319	798
623	1321	796
624	1322	793
625	1324	791
626	1326	789
627	1328	787
628	1330	784
629	1331	782
630	1333	779
631	1335	777
632	1336	774
633	1338	772
634	1340	770
635	1342	768
636	1344	766
637	1346	763
638	1347	761
639	1348	758
640	1350	756
641	1352	754
642	1353	751
643	1355	749
644	1357	747
645	1359	744
646	1361	742
647	1363	740
648	1364	738
649	1366	735
650	1367	733
651	1369	731
652	1371	728
653	1373	726
654	1375	724
655	1376	722
656	1385	723
657	1391	723
658	1394	721
659	1397	719
660	1398	717
661	1401	715
662	1404	713
663	1406	711
664	1408	709
665	1409	706
666	1410	704
667	1412	701
668	1413	699
669	1415	696
670	1416	694
671	1418	692
672	1419	689
673	1421	687
674	1422	685
675	1424	682
676	1425	680
677	1426	677
678	1428	675
679	1429	672
680	1431	670
681	1432	668
682	1434	665
683	1436	663
684	1437	661
685	1439	658
686	1440	656
687	1441	653
688	1443	651
689	1444	648
690	1445	646
691	1447	644
692	1449	642
693	1450	639
694	1452	637
695	1453	635
696	1455	632
697	1456	630
698	1458	627
699	1459	625
700	1460	623
701	1462	620
702	1463	618
703	1465	616
704	1466	613
705	1468	611
706	1469	609
707	1470	606
708	1472	604
709	1473	601
710	1475	599
711	1476	597
712	1477	594
713	1479	592
714	1481	590
715	1482	588
716	1484	585
717	1485	583
718	1486	581
719	1488	578
720	1489	576
721	1490	574
722	1492	571
723	1494	569
724	1495	567
725	1497	565
726	1498	562
727	1499	560
728	1501	558
729	1502	555
730	1503	553
731	1505	551
732	1506	548
733	1508	546
734	1509	544
735	1511	542
736	1512	539
737	1514	537
738	1515	535
739	1517	533
740	1518	530
741	1519	528
742	1521	526
743	1523	524
744	1525	522
745	1528	520
746	1530	518
747	1532	516
748	1533	514
749	1535	511
750	1537	509
751	1539	507
752	1541	505
753	1543	503
754	1545	501
755	1546	499
756	1548	496
757	1549	494
758	1551	492
759	1552	490
760	1554	488
761	1555	485
762	1557	483
763	1558	481
764	1560	479
765	1561	477
766	1575	478
767	1578	476
768	1580	474
769	1582	472
770	1584	470
771	1587	468
772	1589	466
773	1590	464
774	1592	462
775	1593	460
776	1595	457
777	1596	455
778	1597	453
779	1599	451
780	1600	448
781	1602	446
782	1603	444
783	1605	442
784	1606	440
785	1607	437
786	1609	435
787	1610	433
788	1612	431
789	1613	428
790	1614	426
791	1616	424
792	1618	422
793	1619	420
794	1621	418
795	1622	415
796	1624	413
797	1625	411
798	1627	409
799	1628	407
800	1629	404
801	1631	402
802	1633	400
803	1634	398
804	1636	396
805	1637	394
806	1639	392
807	1640	389
808	1641	387
809	1643	385
810	1644	383
811	1645	381
812	1647	378
813	1649	376
814	1650	374
815	1652	372
816	1653	370
817	1654	368
818	1656	366
819	1657	363
820	1658	361
821	1660	359
822	1661	357
823	1663	355
824	1665	353
825	1667	351
826	1669	349
827	1671	347
828	1673	345
829	1675	343
830	1677	341
831	1679	339
832	1681	337
833	1682	334
834	1684	332
835	1685	330
836	1686	328
837	1688	326
838	1689	324
839	1691	322
840	1692	319
841	1694	317
842	1695	315
843	1696	313
844	1698	311
845	1699	309
846	1701	307
847	1702	305
848	1704	303
849	1705	300
850	1706	298
851	1709	296
852	1710	294
853	1712	292
854	1713	290
855	1715	288
856	1716	286
857	1717	284
858	1719	282
859	1720	280
860	1721	277
861	1724	276
862	1725	273
863	1727	271
864	1728	269
865	1730	267
866	1731	265
867	1733	263
868	1734	261
869	1736	259
870	1737	257
871	1739	255
872	1741	253
873	1742	251
874	1743	249
875	1745	247
876	1746	244
877	1751	243
878	1766	243
879	1767	241
880	1770	239
881	1772	237
882	1774	235
883	1776	233
884	1777	230
885	1778	228
886	1780	226
887	1781	224
888	1783	222
889	1784	220
890	1786	218
891	1787	216
892	1789	214
893	1790	212
894	1792	210
895	1793	208
896	1794	206
897	1796	204
898	1797	201
899	1798	199
900	1800	197
901	1801	195
902	1803	193
903	1804	191
904	1806	189
905	1807	187
906	1809	185
907	1811	183
908	1813	181
909	1814	179
910	1817	177
911	1819	175
912	1821	173
913	1823	171
914	1824	169
915	1826	167
916	1827	165
917	1828	163
918	1830	161
919	1832	159
920	1833	157
921	1835	155
922	1836	153
923	1837	151
924	1839	149
925	1840	147
926	1842	145
927	1843	143
928	1844	140
929	1846	138
930	1847	136
931	1849	134
932	1850	132
933	1852	130
934	1853	128
935	1855	126
936	1856	124
937	1858	122
938	1859	120
939	1860	118
940	1862	116
941	1864	114
942	1865	112
943	1867	110
944	1868	108
945	1869	106
946	1871	104
947	1872	102
948	1874	100
949	1875	98
950	1877	96
951	1878	94
952	1880	92
953	1882	90
954	1883	88
955	1884	86
956	1886	84
957	1887	82
958	1888	80
959	1890	78
960	1891	76
961	1893	74
962	1896	72
963	1897	70
964	1899	68
965	1900	66
966	1901	64
967	1903	62
968	1904	60
969	1906	58
970	1907	56
971	1909	55
972	1910	53
973	1912	51
974	1913	49
975	1915	47
976	1916	45
977	1918	43
978	1919	41
979	1921	39
980	1923	37
981	1924	35
982	1926	33
983	1927	31
984	1929	29
985	1930	27
986	1932	25
987	1933	23
988	1935	21
989	1950	19
990	1953	17
991	1955	15
992	1957	13
993	1962	11
994	1964	9
995	1966	7
996	1967	5
997	1970	3
998	1971	1
999	1972	0
