iter	RMSE
170	8980.118312
171	8959.934016
172	8906.390208
173	8833.9738
174	8802.223608
175	8776.586959
176	8774.589678
177	8745.976637
178	8713.253332
179	8711.267241
180	8709.66696
181	8671.675703
182	8621.480713
183	8589.77373
184	8532.638741
185	8518.074613
186	8513.255328
187	8483.425329
188	8436.941519
189	8407.504296
190	8363.647454
191	8316.141221
192	8269.980993
193	8243.461479
194	8183.545947
195	8178.659708
196	8151.050881
197	8115.364632
198	8095.451989
199	8056.037256
200	8021.868915
201	7998.102723
202	7979.694328
203	7930.294604
204	7914.900955
205	7902.249673
206	7868.979896
207	7830.62945
208	7784.667039
209	7744.402923
210	7715.494738
211	7686.626894
212	7650.871324
213	7624.273904
214	7596.815684
215	7580.682383
216	7539.776003
217	7528.641864
218	7483.952661
219	7443.106074
220	7418.975212
221	7376.681567
222	7337.140369
223	7336.098832
224	7297.587999
225	7282.898997
226	7254.799195
227	7227.380339
228	7211.381377
229	7175.868309
230	7147.678328
231	7144.637232
232	7112.993791
233	7072.291563
234	7048.724276
235	7035.723046
236	7018.325294
237	7001.409756
238	6991.552825
239	6963.795391
240	6959.835347
241	6935.545404
242	6925.28636
243	6903.866464
244	6864.664865
245	6863.156709
246	6857.961435
247	6828.660126
248	6797.406337
249	6750.925912
250	6739.072687
251	6711.248993
252	6692.210251
253	6662.823407
254	6627.260617
255	6612.687018
256	6564.482554
257	6548.324694
258	6524.027914
259	6507.980422
260	6474.94289
261	6454.456902
262	6425.486645
263	6410.950999
264	6388.959165
265	6374.562185
266	6345.455816
267	6326.06875
268	6317.386839
269	6300.786089
270	6287.489181
271	6271.617742
272	6233.703494
273	6215.42465
274	6208.271607
275	6176.695948
276	6160.908845
277	6124.582902
278	6112.876779
279	6091.736966
280	6067.462911
281	6051.89377
282	6036.641576
283	6016.978663
284	5986.712678
285	5980.122447
286	5968.309943
287	5951.565614
288	5909.665518
289	5883.685805
290	5844.356088
291	5816.499474
292	5802.030809
293	5796.701758
294	5775.260821
295	5759.541025
296	5723.573421
297	5709.3461
298	5685.651653
299	5674.183631
300	5657.405268
301	5639.938367
302	5620.801068
303	5593.110416
304	5579.802139
305	5561.012418
306	5546.871834
307	5533.604295
308	5523.651117
309	5518.735639
310	5500.806059
311	5486.793846
312	5471.011062
313	5448.609339
314	5433.380478
315	5414.009859
316	5401.905903
317	5380.992148
318	5346.890131
319	5334.614051
320	5326.08949
321	5314.559042
322	5299.472436
323	5287.458814
324	5265.237454
325	5256.171621
326	5237.478496
327	5215.87148
328	5190.801476
329	5164.009361
330	5140.072578
331	5131.689625
332	5091.961348
333	5070.945084
334	5058.82638
335	5038.612129
336	5037.445675
337	5011.252436
338	4977.900047
339	4953.893281
340	4941.915358
341	4916.2845
342	4904.470031
343	4889.800913
344	4862.860342
345	4846.30899
346	4835.119303
347	4823.25466
348	4807.281522
349	4791.913297
350	4773.4312
351	4761.540948
352	4746.311441
353	4729.601575
354	4708.078059
355	4685.513612
356	4678.453587
357	4654.362271
358	4632.706858
359	4623.536452
360	4609.397897
361	4601.504553
362	4591.974788
363	4574.350666
364	4560.619931
365	4548.078043
366	4542.070365
367	4531.91087
368	4504.420474
369	4494.905108
370	4478.150096
371	4454.763409
372	4443.276166
373	4434.685585
374	4417.897428
375	4401.002484
376	4389.363268
377	4370.138291
378	4349.571496
379	4340.502435
380	4324.683584
381	4302.6853
382	4290.370751
383	4272.528944
384	4257.097262
385	4243.828043
386	4234.989926
387	4223.361185
388	4202.271817
389	4193.18115
390	4178.918476
391	4178.401352
392	4166.263221
393	4154.122995
394	4142.686396
395	4128.520996
396	4110.873929
397	4101.968186
398	4069.238656
399	4051.66138
400	4042.561617
401	4032.625725
402	4018.224305
403	4007.242479
404	3987.920436
405	3979.845817
406	3970.147632
407	3966.404982
408	3956.805555
409	3952.709678
410	3933.765231
411	3932.309209
412	3915.319425
413	3915.003663
414	3898.225185
415	3890.21177
416	3882.382353
417	3871.835798
418	3867.614812
419	3858.729479
420	3830.921917
421	3817.117954
422	3811.620832
423	3801.871583
424	3793.434977
425	3770.298745
426	3766.198082
427	3757.687065
428	3738.813327
429	3727.927451
430	3715.062348
431	3709.59617
432	3700.49238
433	3691.369553
434	3677.482537
435	3661.178086
436	3655.914825
437	3646.637321
438	3634.25283
439	3612.5125
440	3611.857137
441	3605.454096
442	3596.615214
443	3574.317807
444	3571.421591
445	3568.974961
446	3554.023301
447	3529.327965
448	3520.312758
449	3508.435978
450	3501.926609
451	3493.77835
452	3481.374172
453	3475.469753
454	3471.407906
455	3469.083385
456	3456.98245
457	3448.76146
458	3446.260116
459	3434.609937
460	3432.955788
461	3425.553155
462	3413.50444
463	3403.293467
464	3400.494156
465	3390.375752
466	3376.752849
467	3360.528226
468	3349.809415
469	3342.549064
470	3330.946571
471	3319.799647
472	3313.643295
473	3304.020561
474	3300.352314
475	3291.72099
476	3265.209932
477	3255.150239
478	3244.872535
479	3236.938181
480	3212.108199
481	3196.174908
482	3184.811608
483	3175.069191
484	3165.804266
485	3165.54649
486	3162.267596
487	3152.753501
488	3137.429984
489	3134.765481
490	3131.325886
491	3123.661493
492	3115.49108
493	3106.885604
494	3099.480652
495	3079.759001
496	3071.640866
497	3057.960023
498	3050.616491
499	3039.825098
500	3033.042371
501	3024.187283
502	3019.503705
503	3006.734938
504	3001.70789
505	2990.97425
506	2982.042825
507	2974.411656
508	2969.729246
509	2958.987771
510	2945.115469
511	2935.37887
512	2929.431575
513	2927.452672
514	2924.340135
515	2914.883934
516	2909.6542
517	2898.020293
518	2895.652366
519	2895.428799
520	2891.321808
521	2884.034375
522	2881.247706
523	2870.050662
524	2861.436699
525	2856.249122
526	2848.49782
527	2842.324426
528	2835.232949
529	2826.439979
530	2810.946791
531	2807.791358
532	2797.883503
533	2791.576605
534	2782.456527
535	2773.33272
536	2762.552741
537	2754.015512
538	2749.801938
539	2741.159659
540	2731.494667
541	2724.797346
542	2721.814131
543	2713.159372
544	2703.862991
545	2693.756175
546	2682.269028
547	2675.738431
548	2668.115645
549	2663.743514
550	2655.461702
551	2643.366953
552	2630.580625
553	2617.901276
554	2612.748789
555	2603.482794
556	2596.048193
557	2591.741679
558	2582.800316
559	2579.373623
560	2574.498203
561	2571.233078
562	2570.952601
563	2565.380978
564	2563.355673
565	2554.360221
566	2544.701451
567	2538.45524
568	2530.291202
569	2528.460502
570	2527.619327
571	2522.604273
572	2516.452487
573	2514.246307
574	2512.901568
575	2505.782411
576	2496.458962
577	2493.615521
578	2489.925684
579	2485.312172
580	2476.410381
581	2460.400208
582	2455.701616
583	2450.886506
584	2445.623214
585	2426.647018
586	2421.198121
587	2417.415826
588	2409.083721
589	2406.910605
590	2395.696288
591	2388.680194
592	2376.464634
593	2371.8129
594	2365.904005
595	2363.803523
596	2360.17281
597	2347.678671
598	2343.654085
599	2337.239791
600	2332.953793
601	2330.124318
602	2327.767197
603	2322.754599
604	2320.244833
605	2310.492407
606	2305.86897
607	2293.148935
608	2285.182413
609	2278.548154
610	2273.403216
611	2258.692412
612	2251.288843
613	2249.185431
614	2244.849966
615	2240.277531
616	2235.08217
617	2229.678174
618	2226.993911
619	2225.055066
620	2219.395965
621	2209.889174
622	2202.721652
623	2199.705119
624	2191.955474
625	2187.850989
626	2181.312777
627	2178.219248
628	2169.241143
629	2161.123126
630	2158.174457
631	2150.739515
632	2145.99208
633	2141.047275
634	2136.930261
635	2133.621762
636	2129.029756
637	2122.191621
638	2118.11023
639	2115.87419
640	2113.615798
641	2110.522502
642	2099.285723
643	2097.790907
644	2090.571661
645	2083.007201
646	2073.048341
647	2067.842921
648	2066.303785
649	2061.401399
650	2059.999365
651	2056.451668
652	2053.485658
653	2049.94492
654	2045.609766
655	2039.646812
656	2035.553723
657	2027.707359
658	2022.572465
659	2020.040503
660	2010.495533
661	2006.213786
662	1998.146698
663	1992.113305
664	1982.621616
665	1972.820211
666	1967.248051
667	1964.694928
668	1958.916653
669	1950.603868
670	1939.125624
671	1930.797687
672	1928.78773
673	1919.226343
674	1911.954473
675	1908.102729
676	1905.122086
677	1900.539996
678	1892.02488
679	1889.005885
680	1880.835989
681	1874.425115
682	1870.018901
683	1866.591479
684	1861.153812
685	1856.233709
686	1853.974696
687	1848.352261
688	1841.726831
689	1838.1293
690	1832.16981
691	1827.433113
692	1825.05361
693	1821.206684
694	1813.057141
695	1809.851471
696	1807.740626
697	1803.926302
698	1797.887011
699	1793.628746
700	1785.935456
701	1783.284962
702	1776.33784
703	1772.924089
704	1766.635797
705	1759.001976
706	1757.639551
707	1752.959262
708	1750.787108
709	1746.932125
710	1733.831766
711	1729.680581
712	1725.870905
713	1722.839294
714	1720.575029
715	1714.826312
716	1709.194242
717	1707.254514
718	1699.174006
719	1697.332812
720	1691.752646
721	1691.474048
722	1689.659409
723	1684.119347
724	1680.143017
725	1676.19666
726	1671.887333
727	1667.231504
728	1662.133718
729	1662.004
730	1660.162761
731	1652.810107
732	1646.322634
733	1643.595381
734	1643.461758
735	1639.641818
736	1633.91701
737	1630.294668
738	1623.792869
739	1618.8485
740	1614.557116
741	1608.622676
742	1607.288371
743	1604.291346
744	1604.209977
745	1595.077357
746	1591.031195
747	1587.327348
748	1581.189084
749	1578.793294
750	1575.297636
751	1573.292731
752	1569.478485
753	1565.544226
754	1561.617029
755	1560.205478
756	1555.785305
757	1551.366503
758	1545.172286
759	1541.347022
760	1538.074584
761	1534.866714
762	1528.802915
763	1524.37762
764	1524.190566
765	1521.491588
766	1518.793509
767	1518.691082
768	1515.171836
769	1513.748948
770	1508.297205
771	1501.361644
772	1498.495906
773	1494.490755
774	1492.443343
775	1490.96711
776	1488.833157
777	1484.591735
778	1480.391172
779	1478.388884
780	1473.943762
781	1470.394077
782	1468.24465
783	1467.273432
784	1464.522364
785	1463.432523
786	1461.863732
787	1458.775619
788	1454.304861
789	1448.621355
790	1444.648517
791	1441.720132
792	1437.159813
793	1434.676385
794	1432.175314
795	1426.811341
796	1424.527832
797	1417.577641
798	1415.409023
799	1413.846423
800	1410.625775
801	1406.534918
802	1404.83367
803	1398.508659
804	1396.14209
805	1394.964845
806	1392.525648
807	1389.03934
808	1388.928367
809	1388.120497
810	1382.846009
811	1378.895933
812	1376.352072
813	1373.980538
814	1371.013722
815	1367.147176
816	1365.359018
817	1365.155977
818	1359.454485
819	1359.353129
820	1357.49126
821	1356.057456
822	1354.238154
823	1352.607185
824	1350.589049
825	1343.193755
826	1339.977976
827	1333.751765
828	1330.148318
829	1329.734074
830	1326.236913
831	1322.321544
832	1320.744469
833	1317.916427
834	1315.057737
835	1310.440153
836	1308.066407
837	1306.063722
838	1304.948709
839	1303.274004
840	1301.246851
841	1299.833836
842	1294.318228
843	1291.592985
844	1289.619408
845	1287.584528
846	1285.971717
847	1282.391228
848	1276.679023
849	1270.636861
850	1269.470104
851	1267.740466
852	1266.979736
853	1264.109296
854	1262.497018
855	1259.685934
856	1257.799533
857	1255.397212
858	1253.634383
859	1251.753486
860	1249.969087
861	1247.315919
862	1244.654058
863	1244.000499
864	1240.070495
865	1237.839485
866	1234.167086
867	1232.798498
868	1231.857784
869	1231.284319
870	1231.147864
871	1228.369014
872	1225.80271
873	1222.22627
874	1220.038983
875	1218.933571
876	1214.561493
877	1208.530708
878	1203.351061
879	1202.579813
880	1198.532549
881	1194.952438
882	1190.938545
883	1186.304837
884	1183.424025
885	1178.077568
886	1174.420053
887	1173.603651
888	1171.167598
889	1169.859128
890	1167.812098
891	1165.627364
892	1163.826035
893	1162.346576
894	1160.828792
895	1159.869275
896	1159.279027
897	1155.747936
898	1155.272507
899	1151.46119
900	1150.628804
901	1146.197665
902	1144.468858
903	1142.201934
904	1137.191652
905	1135.089001
906	1132.470533
907	1129.132932
908	1123.854148
909	1122.323204
910	1119.012826
911	1113.687015
912	1111.136056
913	1109.728317
914	1104.815495
915	1103.190404
916	1101.355006
917	1097.296574
918	1095.714505
919	1092.173712
920	1090.325126
921	1087.53827
922	1085.765249
923	1084.31151
924	1083.00773
925	1080.894569
926	1077.541672
927	1076.540554
928	1075.92632
929	1074.744897
930	1074.376157
931	1071.767372
932	1068.323697
933	1067.257629
934	1065.05817
935	1061.282368
936	1060.698212
937	1059.839234
938	1057.235815
939	1054.945831
940	1051.738445
941	1050.764754
942	1047.732451
943	1045.496056
944	1041.141792
945	1037.125194
946	1035.962181
947	1034.552395
948	1030.570079
949	1028.383878
950	1026.623692
951	1025.922436
952	1023.312719
953	1021.028924
954	1016.533276
955	1013.849421
956	1009.293417
957	1006.022503
958	1004.528664
959	1001.689284
960	999.7659561
961	998.600453
962	997.786234
963	996.1093146
964	994.9738522
965	993.2123052
966	990.8560288
967	989.487963
968	988.4055143
969	987.2671789
970	984.5177213
971	981.0395919
972	979.4113254
973	978.4669123
974	975.585334
975	971.961864
976	970.0370934
977	969.4632915
978	967.7251782
979	964.9457206
980	959.5315411
981	956.6013442
982	955.9026511
983	954.4106474
984	950.3313554
985	948.7151681
986	946.3763615
987	945.417125
988	944.5671858
989	943.2196692
990	941.3570894
991	939.4403048
992	938.5186547
993	935.2057384
994	933.2186613
995	930.0182183
996	929.2097225
997	928.6502989
998	925.8891659
999	924.7206611
